course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,,,,,,,,,,,,,
CHE102,Thionyl chloride, ClS(O)Cl, reacts with isopropyl alcohol, (CH3)2CHOH, to give,2-chloropropane,1-chloropropane,2-propanol,acetone (a ketone),A,,,,,,,,,,,,
CHE102,Isopropyl alcohol, (CH3)2CHOH, reacts with hot concentrated H2SO4 to give,Propane,2-propanol,Propene,Propyne,C,,,,,,,,,,,,,,
CHE102,Aldehydes have ——— boiling points than/as alcohols of comparable molecular weight.,higher,lower,about the same,exactly the same,B,,,,,,,,,,,,,,,,
CHE102,Acetone is the common name for,1-butanone,1-propanone,2-propanone,2-butanone,C,,,,,,,,,,,,,,,,
CHE102,Which material is most reactive toward nucleophilic addition?,Acetaldehyde,dimethyl ketone,diisopropyl ketone,di-tert-butyl ketone,A,,,,,,,,,,,,,,,,
CHE102,The oxidation of 1-propanol with chromic acid yields,an alcohol,an aldehyde,a ketone,an acid,D,,,,,,,,,,,,,,,,
CHE102,The oxidation of 2-propanol with chromic acid yields,an alcohol,an aldehyde,a ketone,an acid,C,,,,,,,,,,,,,,,,
CHE102,The oxidation of 1-propanol with PCC gives,an alcohol,an aldehyde,a ketone,an acid,B,,,,,,,,,,,,,,,,
CHE102,The oxidation of ——— with ozone followed by reduction with (CH3)2S yields one product,1,5-pentanedial.,1,5-pentanediol,2,4-pentanedione,Cyclopentene,cyclopentane,C,,,,,,,,,,,,
CHE102,The acid-catalyzed hydration of cyclodecyne yields,Cyclodecanone,cyclodecadiene,cyclodecanediol,cyclodecanedial,A,,,,,,,,,,,,,,,,
CHE102,Reduction of acetic acid with Li(tri-tert-butoxy)AlH yields,an acid,an aldehyde,an alcohol,a ketone,B,,,,,,,,,,,,,,,,
CHE102,The reaction of acetyl chloride with excess Grignard reagent followed by acidification yields,a ketone,an ester,a secondary alcohol,a tertiary alcohol,D,,,,,,,,,,,,,,,,
CHE102,Lithium dimethylcuprate (Gilman reagent) reacts with acetyl chloride to give,a ketone,an ester,a secondary alcohol,a tertiary alcohol,A,,,,,,,,,,,,,,,,
CHE102,The cyanide ion -C=N reacts with a ketone to give,an acid,a cyanohydrin,an aldehyde,an amine,B,,,,,,,,,,,,,,,,
CHE102,The acid-catalyzed addition of water to formaldehyde gives,a ketal,a hemiacetal,an acetal,a hydrate,D,,,,,,,,,,,,,,,,
CHE102,The acid-catalyzed addition of 2 mol of alcohol to 1 mol of aldehyde yields,a ketal,a hemiacetal,an acetal,a hydrate,C,,,,,,,,,,,,,,,,
CHE102,Ammonia reacts with an aldehyde to give an,alcohol,amide,imine,amine,C,,,,,,,,,,,,,,,,
CHE102,The reaction of a Wittig reagent with ketones give,Alkenes,ketones,aldehydes,alkanes,A,,,,,,,,,,,,,,,,
CHE102,Silver ion, Ag+, reacts with aldehydes to form,a red precipitate,a silver “mirror”,a blue solution,there is no reaction,B,,,,,,,,,,,,,,
CHE102,Dimethylamine reacts with a ketone to give an,amide,imide,amine,enamine,D,,,,,,,,,,,,,,,,
CHE102,Carbocations are,carbon atoms with a negative charge,carbon atoms with a positive charge,carbon atoms with no charge,any atom with a positive charge,B,,,,,,,,,,,,,,,,
CHE102,A —— carbocation has a greater stability.,methyl,primary,secondary,tertiary,D,,,,,,,,,,,,,,,,
CHE102,Carbocations are stabilized by adjacent groups that —— the carbocation.,donate electrons to,withdraw electrons from,donate protons to,withdraw protons from,A,,,,,,,,,,,,,,,,
