course,question,optionA,optionB,optionC,optionD,correctAnswer,,,
GNS106,The truth value of p ? q when p is True and q is True is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The truth value of p ? q when p is True and q is False is:,TRUE,FALSE,Undetermined,Invalid,B,,,
GNS106,The truth value of p ? q when p is False and q is True is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The truth value of p ? q when p is False and q is False is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The truth value of p ? q (inclusive disjunction) when p is True and q is True is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The truth value of p ? q (inclusive disjunction) when p is True and q is False is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The truth value of p ? q (inclusive disjunction) when p is False and q is True is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The truth value of p ? q (inclusive disjunction) when p is False and q is False is:,TRUE,FALSE,Undetermined,Invalid,B,,,
GNS106,The truth value of p ? q (exclusive disjunction) when p is True and q is True is:,TRUE,FALSE,Undetermined,Invalid,B,,,
GNS106,The truth value of p ? q (exclusive disjunction) when p is True and q is False is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The truth value of p ? q (exclusive disjunction) when p is False and q is True is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The truth value of p ? q (exclusive disjunction) when p is False and q is False is:,TRUE,FALSE,Undetermined,Invalid,B,,,
GNS106,The truth value of p ? q (biconditional) when p is True and q is True is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The truth value of p ? q (biconditional) when p is True and q is False is:,TRUE,FALSE,Undetermined,Invalid,B,,,
GNS106,The truth value of p ? q (biconditional) when p is False and q is True is:,TRUE,FALSE,Undetermined,Invalid,B,,,
GNS106,The truth value of p ? q (biconditional) when p is False and q is False is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The truth value of p ? q (conjunction) when p is True and q is True is:,TRUE,FALSE,Undetermined,Invalid,A,,,
GNS106,The truth value of p ? q (conjunction) when p is True and q is False is:,TRUE,FALSE,Undetermined,Invalid,B,,,
GNS106,The truth value of p ? q (conjunction) when p is False and q is True is:,TRUE,FALSE,Undetermined,Invalid,B,,,
GNS106,The truth value of p ? q (conjunction) when p is False and q is False is:,TRUE,FALSE,Undetermined,Invalid,B,,,
GNS106,An organized way of doing something in philosophy is called:,Method,System,Approach,Principle,A,,,
GNS106,The oldest method in philosophy is named after:,Aristotle,Socrates,Plato,Locke,B,,,
