course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,,,,
Mathematics,What is lim (x -> 4) (5 - 2x + 4)?,1,0,-1,-2,0,,,,,,,
Mathematics,What is lim (x -> 2) (x - 2)/(x^2 - 4)?,1,0,-4,-1,-1,,,,,,,
Mathematics,What is lim (x -> 3) (3x - 3)/(2x - 3)?,0,1,4-Jan,Infinity,4-Jan,,,,,,,
Mathematics,What is lim (x -> 0) x/z?,1,0,Infinity,-1,nonexistent,nonexistent,,,,,,
Mathematics,What is lim (x -> 4) (x - 8)/(x - 4)?,4,0,1,3,Infinity,0,,,,,,
Mathematics,What is lim (x -> 2) (4 - x)/(x^2 - x - 2)?,-2,-1,1,2,nonexistent,-1,,,,,,
Mathematics,What is lim (x -> 0) (5x^2 + 27)/(2x^2 + 3x + 9)?,Infinity,1,3,0,4-Jan,Infinity,,,,,,
Mathematics,What is lim (x -> 0) (3x^2 + 27)/x^2?,3,Infinity,1,-1,0,0,,,,,,
Mathematics,What is lim (x -> -2) (2 - x)?,-1,1,0,Infinity,none of these,0,,,,,,
Mathematics,If [x] is the greatest integer not greater than x, what is lim (x -> 1) [x]?,2-Jan,1,nonexistent,0,none of these,nonexistent,,,,,
Mathematics,If [x] is the greatest integer not greater than x, what is lim (x -> 2) [x]?,0,1,2,3,none of these,none of these,,,,,
Mathematics,What is lim (x -> 0) |x|/x?,0,1,2-Jan,Infinity,The limit does not exist,2-Jan,,,,,,
Mathematics,What is lim (x -> 0) (sin 2x)/x?,0,2,1,0,Infinity,2,,,,,,
Mathematics,What is lim (x -> infinity) sin x?,nonexistent,is infinity,oscillates between -1 and 1,is zero,is 1 or -1,nonexistent,,,,,,
Mathematics,What is lim (x -> 0) (sin 1/x)?,3-Jan,1,4-Mar,0,nonexistent,3,,,,,,
Mathematics,What is lim (x -> 0) (1 - cos x)/x?,nonexistent,1,2,Infinity,none of these,none of these,,,,,,
Mathematics,What is lim (x -> 0) (sin x)/(x^2 + 3x)?,3-Jan,1,3,Infinity,4-Jan,1,,,,,,
